wire_id,customer_id,amount_cad,debit_credit,transaction_date,transaction_time
WIR00000000000000094,SYNCID0000000580,2468.62,debit,2022-11-08,00:00:00
WIR00000000000000095,SYNCID0000000581,50323.48,credit,2023-01-09,00:00:00
WIR00000000000000096,SYNCID0000000587,11662.4,debit,2023-01-17,00:00:00
WIR00000000000000097,SYNCID0000000587,23742.06,debit,2023-01-18,00:00:00
WIR00000000000000098,SYNCID0000000600,8387.55,debit,2023-01-16,00:00:00
WIR00000000000000099,SYNCID0000000600,96019.48,debit,2023-01-30,00:00:00
WIR00000000000000100,SYNCID0000000619,2806.97,credit,2022-11-10,00:00:00
WIR00000000000000101,SYNCID0000000619,527.09,credit,2022-12-31,00:00:00
WIR00000000000000102,SYNCID0000000686,28967.22,debit,2023-01-03,00:00:00
WIR00000000000000103,SYNCID0000000686,11936.47,debit,2022-11-03,00:00:00
WIR00000000000000104,SYNCID0000000686,292.72,debit,2022-12-05,00:00:00
WIR00000000000000105,SYNCID0000000700,919.17,debit,2022-11-02,00:00:00
WIR00000000000000106,SYNCID0000000760,823043.42,credit,2023-01-13,00:00:00
WIR00000000000000107,SYNCID0000000760,6186.38,debit,2022-12-22,00:00:00
WIR00000000000000108,SYNCID0000000775,90798.21,credit,2022-11-17,00:00:00
WIR00000000000000109,SYNCID0000000775,849.0,debit,2023-01-24,00:00:00
WIR00000000000000110,SYNCID0000000775,80525.36,debit,2022-12-23,00:00:00
WIR00000000000000111,SYNCID0000000793,72623.66,debit,2023-01-26,00:00:00
WIR00000000000000112,SYNCID0000000793,4847.98,credit,2022-12-28,00:00:00
WIR00000000000000113,SYNCID0000000793,4019.88,debit,2022-12-09,00:00:00
WIR00000000000000114,SYNCID0000000795,6455.31,credit,2022-12-13,00:00:00
WIR00000000000000115,SYNCID0000000795,54237.88,debit,2022-12-14,00:00:00
WIR00000000000000116,SYNCID0000000795,300.71,credit,2022-12-08,00:00:00
WIR00000000000000117,SYNCID0000000795,15267.73,debit,2022-12-01,00:00:00
WIR00000000000000118,SYNCID0000000813,33025.1,debit,2022-12-22,00:00:00
WIR00000000000000119,SYNCID0000000854,2650.28,credit,2023-01-05,00:00:00
WIR00000000000000120,SYNCID0000000854,12664.07,credit,2022-11-25,00:00:00
WIR00000000000000121,SYNCID0000000854,643226.19,credit,2022-11-28,00:00:00
WIR00000000000000122,SYNCID0000000854,135445.5,credit,2022-12-16,00:00:00
WIR00000000000000123,SYNCID0000000854,9027.08,credit,2022-12-01,00:00:00
WIR00000000000000124,SYNCID0000000854,11401.57,credit,2023-01-10,00:00:00
WIR00000000000000125,SYNCID0000000871,625158.36,debit,2022-12-07,00:00:00
WIR00000000000000126,SYNCID0000000872,25216.15,debit,2022-12-19,00:00:00
WIR00000000000000127,SYNCID0000000890,11270.0,credit,2022-12-01,00:00:00
WIR00000000000000128,SYNCID0000000890,499094.59,credit,2022-12-05,00:00:00
WIR00000000000000129,SYNCID0000000890,100869.48,credit,2022-11-03,00:00:00
WIR00000000000000130,SYNCID0000000890,35432.03,credit,2022-11-25,00:00:00
WIR00000000000000131,SYNCID0000000891,14095.18,credit,2022-12-01,00:00:00
WIR00000000000000132,SYNCID0000000891,110695.9,debit,2022-12-01,00:00:00
WIR00000000000000133,SYNCID0000000891,2377.11,debit,2022-12-05,00:00:00
WIR00000000000000134,SYNCID0000000893,2993.04,credit,2022-12-29,00:00:00
WIR00000000000000135,SYNCID0000000917,349954.57,debit,2022-11-18,00:00:00
WIR00000000000000136,SYNCID0000000918,2375.74,credit,2022-12-29,00:00:00
WIR00000000000000137,SYNCID0000000918,3162.21,credit,2022-12-28,00:00:00
WIR00000000000000138,SYNCID0000000918,11666.5,debit,2022-11-24,00:00:00
WIR00000000000000139,SYNCID0000000926,690327.81,credit,2022-11-04,00:00:00
WIR00000000000000140,SYNCID0000000934,18021.55,debit,2022-11-03,00:00:00
WIR00000000000000141,SYNCID0000000977,43316.57,debit,2022-11-01,00:00:00
WIR00000000000000142,SYNCID0000001008,376719.77,debit,2022-12-01,00:00:00
WIR00000000000000143,SYNCID0000001010,325317.62,credit,2022-11-30,00:00:00
WIR00000000000000144,SYNCID0000001010,55427.29,credit,2022-11-10,00:00:00
WIR00000000000000145,SYNCID0000001010,6856.97,credit,2022-11-15,00:00:00
WIR00000000000000146,SYNCID0000001010,11578.15,credit,2023-01-13,00:00:00
WIR00000000000000147,SYNCID0000001010,51408.14,credit,2022-11-01,00:00:00
WIR00000000000000148,SYNCID0000001010,3724.98,credit,2023-01-13,00:00:00
WIR00000000000000149,SYNCID0000001010,2013.58,credit,2023-01-09,00:00:00
WIR00000000000000150,SYNCID0000001010,14616.67,credit,2023-01-03,00:00:00
WIR00000000000000151,SYNCID0000001010,305603.52,debit,2022-11-22,00:00:00
WIR00000000000000152,SYNCID0000001010,2631.12,credit,2022-11-30,00:00:00
WIR00000000000000153,SYNCID0000001010,1136825.74,credit,2022-11-23,00:00:00
WIR00000000000000154,SYNCID0000001010,3983.03,credit,2023-01-05,00:00:00
WIR00000000000000155,SYNCID0000001010,8491.42,credit,2022-11-10,00:00:00
WIR00000000000000156,SYNCID0000001010,5138.29,credit,2022-12-03,00:00:00
WIR00000000000000157,SYNCID0000001010,263822.82,credit,2023-01-11,00:00:00
WIR00000000000000158,SYNCID0000001010,73896.07,credit,2023-01-03,00:00:00
WIR00000000000000159,SYNCID0000001010,2362.04,credit,2023-01-12,00:00:00
WIR00000000000000160,SYNCID0000001013,22126.74,debit,2022-12-19,00:00:00
WIR00000000000000161,SYNCID0000001038,282.36,credit,2022-12-07,00:00:00
WIR00000000000000162,SYNCID0000001063,52552.5,debit,2023-01-09,00:00:00
WIR00000000000000163,SYNCID0000001063,10700.02,credit,2022-12-28,00:00:00
WIR00000000000000164,SYNCID0000001063,1123.41,debit,2022-12-22,00:00:00
WIR00000000000000165,SYNCID0000001066,302032.95,credit,2022-11-25,00:00:00
WIR00000000000000167,SYNCID0000001103,4275.02,debit,2022-12-13,00:00:00
WIR00000000000000168,SYNCID0000001103,1051.89,credit,2023-01-05,00:00:00
WIR00000000000000169,SYNCID0000001106,65911.28,debit,2022-11-26,00:00:00
WIR00000000000000170,SYNCID0000001106,45095.93,credit,2023-01-06,00:00:00
WIR00000000000000171,SYNCID0000001106,231961.59,debit,2023-01-17,00:00:00
WIR00000000000000172,SYNCID0000001132,28745.06,debit,2022-11-22,00:00:00
WIR00000000000000173,SYNCID0000001141,941162.45,credit,2022-11-14,00:00:00
WIR00000000000000174,SYNCID0000001141,360.36,credit,2022-11-16,00:00:00
WIR00000000000000175,SYNCID0000001147,49188.62,credit,2022-11-02,00:00:00
WIR00000000000000176,SYNCID0000001169,47876.78,debit,2022-12-14,00:00:00
WIR00000000000000177,SYNCID0000001178,20249.64,credit,2022-12-07,00:00:00
WIR00000000000000178,SYNCID0000001178,86714.67,debit,2022-11-23,00:00:00
WIR00000000000000179,SYNCID0000001178,16866.5,debit,2022-12-16,00:00:00
WIR00000000000000180,SYNCID0000001178,3243.51,debit,2022-12-15,00:00:00
WIR00000000000000181,SYNCID0000001227,265972.73,credit,2022-11-14,00:00:00
WIR00000000000000182,SYNCID0000001227,960.93,credit,2022-11-29,00:00:00
WIR00000000000000183,SYNCID0000001227,21997.2,credit,2023-01-11,00:00:00
WIR00000000000000184,SYNCID0000001227,1248164.66,credit,2023-01-03,00:00:00
WIR00000000000000185,SYNCID0000001227,53408.95,credit,2023-01-24,00:00:00
WIR00000000000000186,SYNCID0000001227,158293.28,credit,2022-12-21,00:00:00
WIR00000000000000187,SYNCID0000001235,4203.52,debit,2023-01-03,00:00:00
WIR00000000000000188,SYNCID0000001235,154413.52,debit,2023-01-30,00:00:00
WIR00000000000000189,SYNCID0000001235,4748.16,debit,2023-01-16,00:00:00
WIR00000000000000190,SYNCID0000001235,1421.46,debit,2023-01-31,00:00:00
WIR00000000000000191,SYNCID0000001235,19314.45,debit,2022-12-14,00:00:00
WIR00000000000000192,SYNCID0000001235,674.81,debit,2023-01-05,00:00:00
WIR00000000000000193,SYNCID0000001235,2142.01,debit,2022-12-07,00:00:00
WIR00000000000000194,SYNCID0000001235,13585.87,debit,2023-01-31,00:00:00
WIR00000000000000195,SYNCID0000001235,2066.53,debit,2022-11-09,00:00:00
WIR00000000000000196,SYNCID0000001235,12305.86,debit,2023-01-04,00:00:00
WIR00000000000000197,SYNCID0000001235,415.08,debit,2023-01-20,00:00:00
WIR00000000000000198,SYNCID0000001235,24012.37,debit,2022-12-16,00:00:00
WIR00000000000000199,SYNCID0000001235,25447.73,debit,2022-12-05,00:00:00
WIR00000000000000200,SYNCID0000001235,6925.11,debit,2022-11-10,00:00:00
WIR00000000000000201,SYNCID0000001235,27910.12,debit,2023-01-05,00:00:00
WIR00000000000000202,SYNCID0000001268,10290.96,debit,2023-01-27,00:00:00
WIR00000000000000203,SYNCID0000001285,6679.25,credit,2022-11-23,00:00:00
WIR00000000000000204,SYNCID0000001285,45498.02,credit,2022-12-23,00:00:00
WIR00000000000000205,SYNCID0000001296,5915.92,credit,2022-11-30,00:00:00
WIR00000000000000206,SYNCID0000001296,76270.15,credit,2023-01-18,00:00:00
WIR00000000000000207,SYNCID0000001296,632798.22,credit,2023-01-03,00:00:00
WIR00000000000000208,SYNCID0000001296,16792.19,credit,2023-01-16,00:00:00
WIR00000000000000209,SYNCID0000001296,64211.86,credit,2023-01-23,00:00:00
WIR00000000000000210,SYNCID0000001296,4214.7,credit,2023-01-03,00:00:00
WIR00000000000000211,SYNCID0000001296,20796.87,credit,2022-12-09,00:00:00
WIR00000000000000212,SYNCID0000001296,3769.25,credit,2022-12-19,00:00:00
WIR00000000000000213,SYNCID0000001296,13859.16,credit,2022-12-01,00:00:00
WIR00000000000000214,SYNCID0000001300,30253.7,debit,2022-11-15,00:00:00
WIR00000000000000215,SYNCID0000001323,10198.62,debit,2023-01-20,00:00:00
WIR00000000000000216,SYNCID0000001329,572.54,debit,2022-11-23,00:00:00
WIR00000000000000217,SYNCID0000001366,35150.03,debit,2022-12-16,00:00:00
WIR00000000000000218,SYNCID0000001366,12722.96,credit,2023-01-25,00:00:00
WIR00000000000000219,SYNCID0000001386,575817.06,credit,2023-01-11,00:00:00
WIR00000000000000220,SYNCID0000001390,17010.17,debit,2023-01-04,00:00:00
WIR00000000000000221,SYNCID0000001390,4162.56,credit,2022-12-21,00:00:00
WIR00000000000000222,SYNCID0000001390,5218.58,debit,2022-11-07,00:00:00
WIR00000000000000223,SYNCID0000001396,41455.58,credit,2022-11-21,00:00:00
WIR00000000000000224,SYNCID0000001396,312.0,credit,2022-12-30,00:00:00
WIR00000000000000225,SYNCID0000001396,78615.45,credit,2022-12-16,00:00:00
WIR00000000000000226,SYNCID0000001458,19454.65,debit,2022-12-15,00:00:00
WIR00000000000000227,SYNCID0000001469,7853.31,debit,2023-01-03,00:00:00
WIR00000000000000228,SYNCID0000001470,37246.19,credit,2022-12-01,00:00:00
WIR00000000000000229,SYNCID0000001487,13590.62,credit,2022-12-12,00:00:00
WIR00000000000000230,SYNCID0000001487,7470.83,credit,2023-01-25,00:00:00
WIR00000000000000231,SYNCID0000001487,4258.46,credit,2023-01-12,00:00:00
WIR00000000000000232,SYNCID0000001487,1403.47,credit,2023-01-26,00:00:00
WIR00000000000000233,SYNCID0000001487,17114.43,credit,2022-12-02,00:00:00
WIR00000000000000234,SYNCID0000001487,2183.7,credit,2022-12-01,00:00:00
WIR00000000000000235,SYNCID0000001487,12144.79,credit,2023-01-23,00:00:00
WIR00000000000000236,SYNCID0000001487,1326.69,credit,2023-01-26,00:00:00
WIR00000000000000237,SYNCID0000001487,250.61,credit,2022-12-23,00:00:00
WIR00000000000000238,SYNCID0000001487,123.1,credit,2023-01-10,00:00:00
WIR00000000000000239,SYNCID0000001487,367.33,credit,2023-01-26,00:00:00
WIR00000000000000240,SYNCID0000001487,889.89,credit,2022-12-20,00:00:00
WIR00000000000000241,SYNCID0000001487,699.31,credit,2023-01-18,00:00:00
WIR00000000000000242,SYNCID0000001487,861.84,credit,2023-01-27,00:00:00
WIR00000000000000243,SYNCID0000001487,233.41,credit,2022-12-13,00:00:00
WIR00000000000000244,SYNCID0000001487,875.47,credit,2022-11-02,00:00:00
WIR00000000000000245,SYNCID0000001487,920.69,credit,2023-01-19,00:00:00
WIR00000000000000246,SYNCID0000001487,652.97,credit,2023-01-24,00:00:00
WIR00000000000000247,SYNCID0000001487,52687.01,credit,2023-01-19,00:00:00
WIR00000000000000248,SYNCID0000001487,718.8,credit,2022-11-30,00:00:00
WIR00000000000000249,SYNCID0000001487,101.79,credit,2022-12-21,00:00:00
WIR00000000000000250,SYNCID0000001487,29713.52,credit,2022-11-15,00:00:00
WIR00000000000000251,SYNCID0000001487,1294.84,credit,2023-01-12,00:00:00
WIR00000000000000252,SYNCID0000001487,2225.29,credit,2022-11-15,00:00:00
WIR00000000000000253,SYNCID0000001487,867.78,credit,2022-12-14,00:00:00
WIR00000000000000254,SYNCID0000001487,12890.46,credit,2023-01-20,00:00:00
WIR00000000000000255,SYNCID0000001487,1775.38,credit,2022-11-04,00:00:00
WIR00000000000000256,SYNCID0000001487,323.06,credit,2022-11-24,00:00:00
WIR00000000000000257,SYNCID0000001487,1025.22,credit,2022-11-23,00:00:00
WIR00000000000000258,SYNCID0000001487,5160.52,credit,2023-01-20,00:00:00
WIR00000000000000259,SYNCID0000001487,520.97,credit,2023-01-09,00:00:00
WIR00000000000000260,SYNCID0000001487,562.33,credit,2023-01-09,00:00:00
WIR00000000000000261,SYNCID0000001487,807.66,credit,2022-12-14,00:00:00
WIR00000000000000262,SYNCID0000001487,6855.96,credit,2022-11-04,00:00:00
WIR00000000000000263,SYNCID0000001487,14997.06,credit,2022-12-22,00:00:00
WIR00000000000000264,SYNCID0000001487,1953.09,credit,2022-12-28,00:00:00
WIR00000000000000265,SYNCID0000001487,1482.96,credit,2023-01-04,00:00:00
WIR00000000000000266,SYNCID0000001487,60524.3,credit,2022-12-19,00:00:00
WIR00000000000000267,SYNCID0000001487,8.81,credit,2022-11-25,00:00:00
WIR00000000000000268,SYNCID0000001487,7298.9,credit,2022-12-01,00:00:00
WIR00000000000000269,SYNCID0000001487,452.46,credit,2022-12-07,00:00:00
WIR00000000000000270,SYNCID0000001487,1101.84,credit,2023-01-13,00:00:00
WIR00000000000000271,SYNCID0000001487,105.37,credit,2023-01-19,00:00:00
WIR00000000000000272,SYNCID0000001487,2222.45,credit,2023-01-06,00:00:00
WIR00000000000000273,SYNCID0000001487,746.94,credit,2022-12-16,00:00:00
WIR00000000000000274,SYNCID0000001487,14365.16,credit,2022-12-15,00:00:00
WIR00000000000000275,SYNCID0000001487,16234.07,credit,2023-01-09,00:00:00
WIR00000000000000276,SYNCID0000001487,315.33,credit,2022-11-23,00:00:00
WIR00000000000000277,SYNCID0000001487,598.65,credit,2022-12-29,00:00:00
WIR00000000000000278,SYNCID0000001487,1362.69,credit,2023-01-19,00:00:00
WIR00000000000000279,SYNCID0000001487,2345.21,credit,2022-11-23,00:00:00
WIR00000000000000280,SYNCID0000001487,16359.76,credit,2022-12-28,00:00:00
WIR00000000000000281,SYNCID0000001487,156.66,credit,2022-11-08,00:00:00
WIR00000000000000282,SYNCID0000001487,664.27,credit,2022-12-23,00:00:00
WIR00000000000000283,SYNCID0000001487,1135.39,credit,2022-11-23,00:00:00
WIR00000000000000284,SYNCID0000001487,79951.34,credit,2023-01-17,00:00:00
WIR00000000000000285,SYNCID0000001487,890.33,credit,2022-11-25,00:00:00
WIR00000000000000286,SYNCID0000001487,72398.8,credit,2022-12-16,00:00:00
WIR00000000000000287,SYNCID0000001487,201882.71,credit,2023-01-06,00:00:00
WIR00000000000000288,SYNCID0000001487,2.16,credit,2022-11-04,00:00:00
WIR00000000000000289,SYNCID0000001487,7096.02,credit,2022-11-14,00:00:00
WIR00000000000000290,SYNCID0000001487,4358.48,debit,2023-01-16,00:00:00
WIR00000000000000291,SYNCID0000001487,921.06,credit,2023-01-05,00:00:00
WIR00000000000000292,SYNCID0000001487,291.47,credit,2022-11-25,00:00:00
WIR00000000000000293,SYNCID0000001487,1413.1,credit,2023-01-11,00:00:00
WIR00000000000000294,SYNCID0000001487,800.87,credit,2022-11-18,00:00:00
WIR00000000000000295,SYNCID0000001487,520.13,credit,2022-11-25,00:00:00
WIR00000000000000296,SYNCID0000001487,1015.5,credit,2022-12-01,00:00:00
WIR00000000000000297,SYNCID0000001487,110.7,credit,2023-01-19,00:00:00
WIR00000000000000298,SYNCID0000001487,132292.36,credit,2023-01-19,00:00:00
WIR00000000000000299,SYNCID0000001487,2030.34,credit,2022-12-14,00:00:00
WIR00000000000000300,SYNCID0000001487,2022.92,credit,2023-01-17,00:00:00
WIR00000000000000301,SYNCID0000001487,22366.87,credit,2022-12-15,00:00:00
WIR00000000000000302,SYNCID0000001487,10790.85,credit,2023-01-17,00:00:00
WIR00000000000000303,SYNCID0000001487,567.64,credit,2023-01-31,00:00:00
WIR00000000000000304,SYNCID0000001487,8.85,credit,2022-12-05,00:00:00
WIR00000000000000305,SYNCID0000001487,1987.41,credit,2022-12-07,00:00:00
WIR00000000000000306,SYNCID0000001487,2178.17,credit,2023-01-16,00:00:00
WIR00000000000000307,SYNCID0000001487,275.99,credit,2022-12-02,00:00:00
WIR00000000000000308,SYNCID0000001487,1000.76,credit,2023-01-05,00:00:00
WIR00000000000000309,SYNCID0000001487,2949.21,credit,2022-11-14,00:00:00
WIR00000000000000310,SYNCID0000001487,24676.48,credit,2022-11-09,00:00:00
WIR00000000000000311,SYNCID0000001487,375.98,credit,2023-01-20,00:00:00
WIR00000000000000312,SYNCID0000001487,365.51,credit,2022-12-21,00:00:00
WIR00000000000000313,SYNCID0000001487,842.74,credit,2023-01-31,00:00:00
WIR00000000000000314,SYNCID0000001487,1690.85,credit,2022-11-24,00:00:00
WIR00000000000000315,SYNCID0000001487,187.18,credit,2023-01-27,00:00:00
WIR00000000000000316,SYNCID0000001487,1162.4,credit,2023-01-13,00:00:00
WIR00000000000000317,SYNCID0000001487,7154.79,credit,2022-11-10,00:00:00
WIR00000000000000318,SYNCID0000001487,125.17,credit,2022-11-15,00:00:00
WIR00000000000000319,SYNCID0000001487,2034.16,credit,2022-12-16,00:00:00
WIR00000000000000320,SYNCID0000001487,885.87,credit,2022-12-14,00:00:00
WIR00000000000000321,SYNCID0000001487,938.71,credit,2023-01-19,00:00:00
WIR00000000000000322,SYNCID0000001487,6738.35,credit,2022-11-10,00:00:00
WIR00000000000000323,SYNCID0000001487,14265.19,credit,2023-01-31,00:00:00
WIR00000000000000324,SYNCID0000001487,822.96,credit,2023-01-10,00:00:00
WIR00000000000000325,SYNCID0000001487,720.21,credit,2022-12-12,00:00:00
WIR00000000000000326,SYNCID0000001487,33999.9,credit,2023-01-16,00:00:00
WIR00000000000000327,SYNCID0000001487,443592.73,credit,2022-12-01,00:00:00
WIR00000000000000328,SYNCID0000001487,7513.96,credit,2022-11-02,00:00:00
WIR00000000000000329,SYNCID0000001487,405.3,credit,2022-11-18,00:00:00
WIR00000000000000330,SYNCID0000001487,1061.95,credit,2022-11-04,00:00:00
WIR00000000000000331,SYNCID0000001487,11601.54,credit,2022-11-09,00:00:00
WIR00000000000000332,SYNCID0000001487,1304.81,credit,2022-11-15,00:00:00
WIR00000000000000333,SYNCID0000001487,2905.43,credit,2022-12-19,00:00:00
WIR00000000000000334,SYNCID0000001487,27211.49,credit,2023-01-04,00:00:00
WIR00000000000000335,SYNCID0000001487,16641.75,credit,2023-01-04,00:00:00
WIR00000000000000336,SYNCID0000001487,834.54,credit,2022-11-29,00:00:00
WIR00000000000000337,SYNCID0000001487,697.24,credit,2022-11-03,00:00:00
WIR00000000000000338,SYNCID0000001487,269.61,credit,2023-01-13,00:00:00
WIR00000000000000339,SYNCID0000001487,1127.43,credit,2022-11-22,00:00:00
WIR00000000000000340,SYNCID0000001487,307.9,credit,2023-01-26,00:00:00
WIR00000000000000341,SYNCID0000001487,200.98,credit,2023-01-23,00:00:00
WIR00000000000000342,SYNCID0000001487,462.55,credit,2022-11-10,00:00:00
WIR00000000000000343,SYNCID0000001487,931.57,credit,2022-12-22,00:00:00
WIR00000000000000344,SYNCID0000001487,117892.74,credit,2022-12-05,00:00:00
