industry_code,industry
6413,Other General Merchandise Stores
6521,Florist Shops
6531,Hardware Stores
6532,"Paint, Glass and Wallpaper Stores"
6541,Sporting Goods Stores
6561,Jewellery Stores
6562,Watch and Jewellery Repair Shops
6581,Toy and Hobby Stores
6582,"Gift, Novelty and Souvenir Stores"
6591,Second-Hand Merchandise Stores n.e.c.
6592,Opticians' Shops
6593,Art Galleries and Artists' Supply Stores
6596,Pet Stores
6599,Other Retail Stores n.e.c.
6921,Direct Sellers
7211,Investment (Mutual) Funds
7214,Investment Companies
7215,Holding Companies
7292,"Estate, Trust and Agency Funds"
7299,Other Investment Intermediaries n.e.c.
7421,Mortgage Brokers
7511,Operators of Residential Buildings and Dwellings
7512,Operators of Non-Residential Buildings
7599,Other Real Estate Operators
7611,Insurance and Real Estate Agencies
7711,Employment Agencies
7712,Personnel Suppliers
7721,Computer Services
7722,Computer Equipment Maintenance and Repair
7731,Offices of Chartered and Certified Accountants
7739,Other Accounting and Bookkeeping Services
7741,Advertising Agencies
7742,Media Representatives
7749,Other Advertising Services
7751,Offices of Architects
7752,Offices of Engineers
7759,Other Scientific and Technical Services
7761,Offices of Lawyers and Notaries
7771,Management Consulting Services
7791,Security and Investigation Services
7799,Other Business Services n.e.c.
8132,Immigration Services
8351,Executive and Legislative Administration
8511,Elementary and Secondary Education
8521,Post-Secondary Non-University Education
8599,Other Educational Services
8611,General Hospitals
8621,Homes for Personal and Nursing Care
8635,Public Health Clinics Community Health Centres
8639,Other Non-Institutional Health Services
8641,Child Day-Care and Nursery School Services
8649,Other Non-Institutional Social Services
8651,"Offices of Physicians, General Practice"
8652,"Offices of Physicians and Surgeons, Specialists"
8653,"Offices of Dentists, General Practice"
8654,"Offices of Dentists, Specialists"
8661,Offices of Chiropractors and Osteopaths
8665,Offices of Physiotherapists-Occupational Therapists
8666,Offices of Optometrists
8667,Offices of Podiatrists and Chiropodists
8668,Offices of Denturists
8669,Offices of Other Health Practitioners
8671,Offices of Psychologists
8699,Other Health and Social Service Associations and Agencies
9112,Motels
9113,Tourist Courts and Cabins
9114,Guest Houses and Tourist Homes
9121,Lodging Houses and Residential Clubs
9141,Outfitters (Hunting and Fishing Camps)
9211,"Restaurants, Licensed"
9212,"Restaurants, Unlicensed (including Drive-Ins)"
9213,Take-Out Food Services
9214,Caterers
9221,"Taverns, Bars and Night Clubs"
9611,Motion Picture and Video Production
9614,Sound Recording Services
9619,"Other Motion Picture, Audio and Video Services"
9631,Entertainment Production Companies and Artists
9639,Other Theatrical and Staged Entertainment Services
9641,Professional Sports Clubs
9642,Professional Athletes and Promoters on Own Account
9651,Golf Courses
9654,Boat Rentals and Marinas
9659,Other Sports and Recreation Clubs
9693,"Dance Halls, Studios and Schools"
9699,Other Amusement and Recreational Services n.e.c.
9711,Barber Shops
9712,Beauty Shops
9713,Combination Barber and Beauty shops
9726,Carpet Cleaning
9731,Funeral Homes
9741,Private Households
9799,Other Personal and Household Services n.e.c.
9811,Religious Organizations
9821,Business Associations
9831,Professional Health and Social Service Membership Associations
9839,Other Professional Menbership Associations
9841,Labour Organizations
9851,Political Organizations
9861,Civic and Fraternal Organizations
9911,Industrial Machinery and Equipment Rental and Leasing
9919,Other Machinery and Equipment Rental and Leasing
9921,Automobile and Truck Rental and Leasing Services
9931,Photographers
9942,Welding
9949,Other Repair Services n.e.c.
9951,Disinfecting and Exterminating Services
9952,Window Cleaning Services
9953,Janitorial Services
9959,Other Services to Buildings and Dwellings
9961,Ticket and Travel Agencies
9999,Other Services n.e.c.
